start,end,multiple,xirr,max_dd
2010-09-17,2020-09-17,2.386145181852681,0.13356027833449347,-0.23108357743845065
2007-05-14,2017-05-12,1.8941303548107216,0.09895335824737607,-0.35467926475235567
2011-05-27,2021-05-27,2.674169332950427,0.15016688597544836,-0.23030801767763087
2003-12-29,2013-12-27,1.7512622020549093,0.08649132646187002,-0.440167089769425
2012-09-18,2022-09-16,2.1385902416995153,0.11714096839702355,-0.22892301680348182
2008-10-24,2018-10-24,2.4051691124182755,0.13444262524139292,-0.20127633703552794
2007-02-23,2017-02-23,1.904746059872035,0.09930852886174088,-0.3649985992066461
2007-12-13,2017-12-13,2.08672219301093,0.11355389439232445,-0.336076000026554
2009-01-16,2019-01-16,2.345684702084625,0.1310652044873334,-0.1488336100425638
1999-10-28,2009-10-28,0.9728617548931219,-0.004362815600504085,-0.4723840220779473
2001-08-07,2011-08-05,1.178086876606914,0.025971944921566483,-0.4644656256920743
2003-06-12,2013-06-12,1.6060066149873886,0.07380364406866911,-0.45120177967940767
2001-03-01,2011-03-01,1.2735478816832737,0.03824176498153932,-0.466565714936406
2006-10-20,2016-10-20,1.766339809911937,0.08802953216875589,-0.37769818653788634
2010-10-08,2020-10-08,2.402880174082085,0.13509557497626234,-0.2309644692132593
2010-07-14,2020-07-14,2.325684447398112,0.12988471676263158,-0.23123969065942818
2007-05-10,2017-05-10,1.904359107996931,0.09984975552461013,-0.3552866503974924
2014-01-03,2024-01-03,2.1826479689278018,0.12082761982172717,-0.22663215292766248
2008-12-24,2018-12-24,2.103743593509373,0.11431127452269821,-0.19929534053581288
2000-07-20,2010-07-20,1.001717323128836,0.0002726663390085152,-0.46674839190627204
2012-06-11,2022-06-10,2.2879068677928895,0.1276369248253556,-0.22947544987748203
2009-02-25,2019-02-25,2.6023148586875746,0.14615894914764477,-0.15012217782268533
2010-03-11,2020-03-11,1.9984107116068714,0.1071160114206039,-0.13347914277070305
2008-12-26,2018-12-26,2.204945051177892,0.12128660921561192,-0.19906272086887755
2008-10-13,2018-10-12,2.361409190818111,0.13229906473309325,-0.1953109360317834
2000-09-29,2010-09-29,1.0748002100514142,0.011368319363069871,-0.4666876946847107
2008-11-17,2018-11-16,2.484186382984876,0.13970362907274092,-0.20114784702037158
2012-12-18,2022-12-16,2.0962799540442845,0.11413255948170839,-0.22870154790737574
2004-06-17,2014-06-17,1.810006715804053,0.09187459599007711,-0.43172554717477774
2009-08-20,2019-08-20,2.314790486921806,0.1289016665811072,-0.14170748719298554
1999-09-20,2009-09-18,0.9958712938640273,-0.0006578894633511253,-0.4729105646079862
2005-03-18,2015-03-18,1.8841206037449392,0.09794475969517719,-0.41483524442821984
2006-10-03,2016-10-03,1.7949299106297802,0.0910803333799631,-0.3795344384774173
2016-03-22,2026-03-20,2.487061514668549,0.13971327579298176,-0.2224222221887704
2002-11-27,2012-11-27,1.452599487455095,0.05802396169241798,-0.4603947497207661
2003-12-24,2013-12-24,1.7497027376225796,0.08645956198288585,-0.4407989185316037
2006-04-10,2016-04-08,1.7377004149361766,0.08596730340063717,-0.3924571854103328
2016-05-24,2026-05-22,2.802835281671384,0.15753428312653944,-0.22194162412380558
2013-12-23,2023-12-22,2.2198800528199576,0.1224971102127196,-0.22673805059805596
1999-10-13,2009-10-13,1.0132910258326169,0.0021022539043078496,-0.47317299243095645
