date,invested_nzd_cum,invested_usd_cum,value_SPY_weekly_usd,value_SPY_daily_usd,value_SPY_dip_usd,value_QQQ_weekly_usd,value_QQQ_daily_usd,value_QQQ_dip_usd
2023-11-20,75918.36734693877,49597.47165441515,64019.02113442147,63908.634770419936,63931.480565882855,71958.57767417665,71790.88865964509,71844.36892794394
2023-11-27,76224.48979591836,49783.517608837225,64236.073547157146,64093.192419488005,64116.04927989993,71855.49331336157,71655.99709559252,71709.26247961583
2023-12-04,76530.61224489794,49973.78459390331,64738.70220273447,64600.22268051576,64623.19068730864,71519.54260193482,71325.10823625173,71377.98354310222
2023-12-11,76836.73469387753,50161.275766333776,65677.49750465745,65546.34957395552,65569.58412854381,73410.22689092989,73221.2795224305,73275.41402159944
2023-12-18,77142.85714285712,50351.37497648903,67558.42012523075,67431.09357742182,67454.92629013612,75896.82887853493,75709.67759279376,75765.5055893535
2023-12-26,77448.9795918367,50544.41584008083,68278.21177781935,68156.72942740044,68180.74796299517,76798.35259856001,76616.66244831015,76673.01158888942
2024-01-02,77755.10204081629,50737.74087185765,68040.8967560261,67886.60807542059,67910.47512281455,75481.76488875107,75268.56384430674,75323.80511886468
2024-01-08,78061.22448979587,50929.03034419432,68512.90325088905,68326.80940040728,68350.77491632238,76115.52279112044,75870.56984398811,75926.13493874372
2024-01-16,78367.34693877546,51118.5411287814,68750.04448391807,68571.5856797856,68595.56785662464,77164.02917298049,76924.86663155409,76981.05880170781
2024-01-22,78673.46938775505,51305.836135027384,70170.69403950693,69958.65323870286,69983.0656483822,79652.00292668362,79376.02043053629,79433.88799443282
2024-01-29,78979.59183673463,51492.353428383285,71492.236902832,71285.1591517466,71309.96643722971,81051.05539558605,80778.91829750067,80837.66677404435
2024-02-05,79285.71428571422,51678.001448816205,71864.16284582225,71665.94044233912,71690.81236490459,81293.50606388888,81031.45098835071,81090.24063732589
2024-02-12,79591.8367346938,51866.19687445312,73282.31823701634,73087.02629461096,73112.32390179877,82788.98741032915,82529.15628901655,82588.89133798878
2024-02-20,79897.95918367339,52054.235089798385,72853.06188521184,72664.46781763498,72689.55233009743,81451.86272993794,81200.85056450876,81259.4851569696
2024-02-26,80204.08163265297,52243.629791298714,74396.09603076083,74171.88768662816,74197.43827950816,83400.60174487565,83112.47625234727,83172.37734054387
2024-03-04,80510.20408163256,52430.48122950965,75510.71031830952,75292.24871590475,75318.11793962853,85014.5531462289,84730.54416301791,84791.47024190966
2024-03-11,80816.32653061215,52619.646538277084,75549.53042390064,75336.99413092098,75362.81184786274,83934.29833087428,83659.03905947448,83719.05540247081
2024-03-18,81122.44897959173,52805.982755155004,76204.79995077326,75999.20714342521,76025.18511003886,84248.9120006301,83981.17828362282,84041.28635007146
